,x1,x2,y
691,83,192,-30
692,84,-32,1101
693,84,34,771
694,84,138,251
695,85,-150,1702
696,85,115,377
697,86,-138,1653
698,86,-47,1198
699,86,-15,1038
700,87,-157,1759
701,87,-147,1709
702,88,-182,1895
703,88,-165,1810
704,88,56,705
705,88,103,470
706,89,-192,1956
707,90,-74,1377
708,90,-45,1232
709,90,11,952
710,91,97,533
711,92,-42,1239
712,92,54,759
713,92,107,494
714,92,130,379
715,92,138,339
716,92,175,154
717,93,56,760
718,94,-124,1671
719,94,-91,1506
720,94,12,991
721,95,-10,1112
722,95,155,287
723,96,-166,1903
724,96,-20,1173
725,98,104,575
726,98,177,210
727,99,-174,1976
728,99,-95,1581
729,99,-79,1501
730,101,33,963
731,102,134,469
732,103,-46,1380
733,103,-23,1265
734,103,-10,1200
735,104,-139,1856
736,104,-123,1776
737,104,-83,1576
738,104,145,436
739,104,169,316
740,106,176,303
741,107,-169,2039
742,107,169,349
743,107,182,284
744,108,-154,1975
745,108,-83,1620
746,108,188,265
747,109,17,1131
748,110,-188,2167
749,110,-88,1667
750,110,71,872
751,111,-142,1948
752,111,2,1228
753,112,-5,1274
754,113,51,1005
755,114,-140,1971
756,114,-76,1651
757,114,52,1011
758,114,137,586
759,115,-177,2167
760,115,-154,2052
761,115,-68,1622
762,115,-55,1557
763,116,136,613
764,116,152,533
765,116,161,488
766,117,-16,1384
767,117,42,1094
768,117,136,624
769,118,-173,2180
770,118,139,620
771,119,-161,2131
772,119,-159,2121
773,119,-140,2026
774,119,-71,1681
775,119,38,1136
776,120,-168,2177
777,120,-105,1862
778,120,82,927
779,121,-62,1658
780,122,123,744
781,123,28,1230
782,123,171,515
783,124,-155,2156
784,124,40,1181
785,125,-159,2187
786,125,-143,2107
787,125,-58,1682
788,125,-29,1537
789,125,137,707
790,126,-82,1813
791,128,-189,2370
792,128,-113,1990
793,128,-72,1785
794,128,-16,1505
795,128,97,940
796,128,163,610
797,129,-98,1926
798,129,0,1436
799,129,30,1286
800,129,193,471
801,130,-48,1687
802,130,111,892
803,130,192,487
804,131,-144,2178
805,131,-76,1838
806,131,29,1313
807,131,97,973
808,131,153,693
809,132,-138,2159
810,132,-135,2144
811,132,-53,1734
812,133,-171,2335
813,133,-136,2160
814,133,-102,1990
815,133,-40,1680
816,134,-22,1601
817,135,-194,2472
818,135,-177,2387
819,135,-146,2232
820,136,-140,2213
821,136,-40,1713
822,136,67,1178
823,136,103,998
824,136,131,858
825,136,175,638
826,140,-188,2497
827,140,-173,2422
828,141,-99,2063
829,141,30,1418
830,143,-174,2460
831,143,-137,2275
832,143,5,1565
833,143,81,1185
834,144,-130,2251
835,144,-129,2246
836,145,-127,2247
837,145,-72,1972
838,146,-190,2573
839,146,125,998
840,147,29,1489
841,147,114,1064
842,147,133,969
843,148,-66,1975
844,148,110,1095
845,149,-146,2386
846,149,109,1111
847,150,-189,2612
848,150,-157,2452
849,150,-131,2322
850,150,-129,2312
851,150,-80,2067
852,151,-198,2668
853,151,-79,2073
854,151,100,1178
855,152,-121,2294
856,152,137,1004
857,153,96,1220
858,154,17,1626
859,155,-72,2082
860,156,-97,2218
861,156,-71,2088
862,156,1,1728
863,156,8,1693
864,156,49,1488
865,156,58,1443
866,156,181,828
867,157,-44,1964
868,157,24,1624
869,158,90,1305
870,158,109,1210
871,159,-196,2746
872,159,29,1621
873,159,111,1211
874,160,-190,2727
875,160,162,967
876,161,0,1788
877,162,-189,2744
878,162,-167,2634
879,163,-131,2465
880,163,-59,2105
881,163,43,1595
882,163,61,1505
883,163,89,1365
884,163,100,1310
885,164,118,1231
886,165,-178,2722
887,165,-20,1932
888,165,104,1312
889,165,135,1157
890,165,157,1047
891,166,-134,2513
892,166,27,1708
893,166,83,1428
894,167,-110,2404
895,168,44,1645
896,168,191,910
897,169,-101,2381
898,169,-93,2341
899,169,81,1471
900,171,-194,2868
901,171,1,1893
902,171,15,1823
903,171,58,1608
904,172,-169,2754
905,172,26,1779
906,172,73,1544
907,173,161,1115
908,173,167,1085
909,174,-99,2426
910,174,86,1501
911,174,122,1321
912,175,-175,2817
913,175,115,1367
914,176,6,1923
915,176,60,1653
916,176,109,1408
917,177,-81,2369
918,177,-38,2154
919,177,-10,2014
920,177,48,1724
921,177,179,1069
922,177,197,979
923,178,90,1525
924,178,196,995
925,179,-61,2291
926,179,53,1721
927,180,-114,2567
928,180,-53,2262
929,180,25,1872
930,180,94,1527
931,181,-109,2553
932,181,121,1403
933,182,-134,2689
934,183,-194,3000
935,183,-167,2865
936,183,23,1915
937,184,105,1516
938,184,129,1396
939,185,-99,2547
940,185,69,1707
941,185,152,1292
942,185,168,1212
943,186,60,1763
944,186,68,1723
945,186,70,1713
946,186,79,1668
947,186,136,1383
948,186,146,1333
949,186,170,1213
950,186,176,1183
951,187,-120,2674
952,187,14,2004
953,187,19,1979
954,187,52,1814
955,188,-107,2620
956,188,87,1650
957,189,-64,2416
958,189,152,1336
959,190,-119,2702
960,190,-60,2407
961,190,-4,2127
962,190,54,1837
963,190,191,1152
964,191,141,1413
965,191,189,1173
966,192,-17,2214
967,192,-9,2174
968,192,14,2059
969,192,25,2004
970,193,-162,2950
971,193,5,2115
972,193,7,2105
973,193,131,1485
974,194,-159,2946
975,194,77,1766
976,195,-77,2547
977,195,-13,2227
978,196,-42,2383
979,196,-19,2268
980,196,170,1323
981,197,18,2094
982,197,69,1839
983,197,91,1729
984,197,157,1399
985,198,-196,3175
986,198,-150,2945
987,198,-116,2775
988,198,-114,2765
989,198,6,2165
990,198,62,1885
991,198,98,1705
992,199,-89,2651
993,199,-64,2526
994,199,-2,2216
995,199,42,1996
996,199,156,1426
